Airline	Sequence number	Flight number	Type	Unit time delay loss	Estimated time	Actual time	Runway	Delay Losses
CCA	1	CA4441	H	4	0:00:00	0:00:00	1	0
CSC	2	3U8701	M	2.1	0:00:00	0:02:00	0	0
CSC	3	3U8773	M	2.1	0:00:00	0:03:54	0	239.4
CCA	4	CA4253	L	1.1	0:00:00	0:10:00	0	528
CES	5	MU5437	M	2.2	0:00:00	0:08:00	1	1056
CSZ	6	ZH4391	M	2.3	0:05:00	0:09:41	1	370.3
CSC	7	3U8961	H	4.2	0:05:00	0:12:37	1	1415.4
CCA	8	CA4401	H	4	0:05:00	0:13:55	0	1660
CES	9	MU2531	L	1.2	0:05:00	0:18:22	0	818.4
CSC	10	3U8671	M	2.1	0:05:00	0:16:01	1	1136.1
CCA	11	CA4391	M	2.2	0:10:00	0:20:56	0	1179.2
CCA	12	CA3315	M	2.1	0:10:00	0:19:12	1	907.2
CCA	13	CA4445	H	4	0:10:00	0:23:04	1	2656
CCA	14	CA4519	L	1.1	0:10:00	0:26:17	0	942.7
CSC	15	3U8937	M	2.1	0:10:00	0:25:13	1	1665.3
