Airline	Sequence number	Flight number	Type	Unit time delay loss	Estimated time	Actual time	Runway	Delay Losses
CES	16	MU7197	L	20.4	0:00:00	0:06:17	0	5242.8
CCA	17	CA4442	H	62.7	0:01:12	0:01:23	1	0
CHH	18	HU7141	M	42.5	0:01:59	0:07:59	0	10200
CHH	19	HU7147	L	23.1	0:03:28	0:03:59	1	0
CES	20	MU5989	M	43	0:03:21	0:11:10	0	15007
CSZ	21	ZH1405	M	41.3	0:04:37	0:12:31	0	14620.2
CCA	22	CA1405	H	62.7	0:05:33	0:05:54	1	0
CSZ	23	ZH1405	H	63.1	0:07:14	0:11:00	1	6688.6
CCA	24	CA1405	L	21.6	0:07:00	0:16:36	0	9849.6
CCA	25	3U8896	M	43.6	0:06:54	0:14:26	1	14475.2
CES	26	MU5435	M	43	0:08:08	0:19:33	0	24295
CSC	27	3U8886	M	42.8	0:09:09	0:17:43	1	16863.2
CCA	28	CA4488	L	22.1	0:09:55	0:21:25	1	12597
CCA	29	CA3393	M	43.6	0:09:24	0:22:20	0	28601.6
CSZ	30	ZH4402	H	63.1	0:09:58	0:23:48	0	44801
