Airline	Sequence number	Flight number	Type	Unit time delay loss	Estimated time	Actual time	Runway	Delay Losses	Type
829	7	LO171	M	1.72	22:45:0	22:51:0	0	5242.8	D
600	8	LO3827	M	1.12	22:45:0	23:20:0	1	0	D
830	9	LO643	M	1.79	22:35:0	23:11:0	0	10200	D
835	10	LO3803	M	1.17	22:35:0	22:35:0	1	0	D
835	11	LO795	M	1.17	22:35:0	22:33:0	0	15007	D
903	12	LO89b	H	2.5	22:40:0	22:40:0	0	14620.2	D
903	13	LO71	H	2.5	22:45:0	22:58:0	1	0	D
829	14	LO755	M	1.72	22:45:0	22:59:0	1	6688.6	D
830	15	LO791	M	1.79	22:45:0	22:40:0	0	9849.6	D
823	16	LO151	M	1.72	22:50:0	23:05:0	1	14475.2	D
600	17	LO3879	M	1.12	22:50:0	23:00:0	0	24295	D
600	18	LO3911	M	1.12	22:50:0	23:02:0	1	16863.2	D
823	19	LO195b	M	1.72	22:50:0	22:56:0	1	12597	D
600	20	LO3941b	M	1.12	22:50:0	23:10:0	0	28601.6	D
600	21	LO3849	M	1.12	22:50:0	22:52:0	0	44801	D
