X	LO171	LO3827	LO643	LO3803	LO795	LO89b	LO71	LO755	LO791	LO151	LO3879	LO3911	LO195b	LO3941b	LO3849	LH1616	W61516	LH1352	W61584	W61476	SN2559
LO171	X	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0
LO3827	1	X	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1
LO643	0	1	X	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0
LO3803	0	1	0	X	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0
LO795	1	0	1	1	X	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1
LO89b	1	0	1	1	1	X	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0
LO71	0	1	0	0	1	1	X	0	1	0	1	1	1	1	0	0	0	0	0	0	0
LO755	0	1	0	0	1	1	0	X	1	0	1	1	1	1	0	0	0	0	0	0	0
LO791	1	0	1	1	0	0	1	1	X	1	0	0	1	1	1	0	1	1	0	1	1
LO151	0	1	0	0	1	1	0	0	1	X	1	1	1	1	0	0	0	0	0	0	0
LO3879	1	0	1	1	0	1	1	1	0	1	X	0	1	1	0	0	0	0	0	0	0
LO3911	1	0	1	1	0	1	1	1	0	1	0	X	1	1	0	0	0	0	0	0	0
LO195b	1	1	1	1	1	0	1	1	1	1	1	1	X	1	1	1	0	0	1	0	0
LO3941b	1	1	1	1	1	1	1	1	1	1	1	1	1	X	0	0	0	0	0	0	0
LO3849	0	1	0	0	1	1	0	0	1	0	0	0	1	0	X	0	0	0	0	0	0
LH1616	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	X	0	0	0	0	0
W61516	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	X	0	0	0	0
LH1352	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	X	0	0	0
W61584	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	X	0	0
W61476	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	X	0
SN2559	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	X
